,Date,Close
1284,2021-07-09,2.3
1285,2021-07-10,2.3
1286,2021-07-11,2.3
1287,2021-07-12,2.21
1288,2021-07-13,2.15
1289,2021-07-14,2.14
1290,2021-07-15,2.13
1291,2021-07-16,2.02
1292,2021-07-17,2.02
1293,2021-07-18,2.02
1294,2021-07-19,1.95
1295,2021-07-20,2.15
1296,2021-07-21,2.28
1297,2021-07-22,2.2
1298,2021-07-23,2.19
1299,2021-07-24,2.19
1300,2021-07-25,2.19
1301,2021-07-26,2.31
1302,2021-07-27,2.18
1303,2021-07-28,2.33
1304,2021-07-29,2.37
1305,2021-07-30,2.17
1306,2021-07-31,2.17
1307,2021-08-01,2.17
1308,2021-08-02,2.18
1309,2021-08-03,2.26
1310,2021-08-04,2.1
1311,2021-08-05,2.15
1312,2021-08-06,2.2
1313,2021-08-07,2.2
1314,2021-08-08,2.2
1315,2021-08-09,2.17
1316,2021-08-10,2.25
1317,2021-08-11,2.23
1318,2021-08-12,2.16
1319,2021-08-13,2.11
1320,2021-08-14,2.11
1321,2021-08-15,2.11
1322,2021-08-16,2.02
1323,2021-08-17,2.0
1324,2021-08-18,2.03
1325,2021-08-19,2.03
1326,2021-08-20,2.05
1327,2021-08-21,2.05
1328,2021-08-22,2.05
1329,2021-08-23,2.21
1330,2021-08-24,2.28
1331,2021-08-25,2.27
1332,2021-08-26,2.24
1333,2021-08-27,2.38
1334,2021-08-28,2.38
1335,2021-08-29,2.38
1336,2021-08-30,2.4
1337,2021-08-31,2.51
1338,2021-09-01,2.56
1339,2021-09-02,2.84
1340,2021-09-03,2.98
1341,2021-09-04,2.98
1342,2021-09-05,2.98
1343,2021-09-06,2.98
1344,2021-09-07,3.13
1345,2021-09-08,2.93
1346,2021-09-09,2.9
1347,2021-09-10,3.21
1348,2021-09-11,3.21
1349,2021-09-12,3.21
1350,2021-09-13,3.3
1351,2021-09-14,3.24
1352,2021-09-15,3.69
1353,2021-09-16,3.55
1354,2021-09-17,3.24
1355,2021-09-18,3.24
1356,2021-09-19,3.24
1357,2021-09-20,2.99
1358,2021-09-21,3.08
